atom Hirshfeld Bader
Li       -0.01 -0.15
Li       -0.01 -1.95
Li       -0.02  0.74
Li       -0.01  0.75
Li       -0.01 -0.95
Li       -0.01 -1.90
Li       -0.01 -0.95
Li       -0.01  0.75
Li       -0.01 -0.18
Li       -0.08 -0.87
Li       -0.08  0.73
Li       -0.08 -1.10
Li       -0.08 -1.16
Li       -0.08  0.73
Li       -0.08  0.72
Li       -0.08  0.74
Li       -0.09  0.72
Li       -0.08  0.73
Li       -0.04 -0.18
Li       -0.03  0.76
Li        0.01  0.77
Li       -0.07 -0.09
Li       -0.07 -0.26
Li       -0.03  0.76
Li       -0.07 -0.37
Li       -0.07 -0.21
Li       -0.03  0.76
Li        0.06  0.78
Li        0.01  0.73
Li        0.10  0.79
Li        0.11  0.79
Li        0.02  0.73
Li        0.04  0.76
Li        0.01 -0.21
Li       -0.03 -1.97
Li        0.01  0.73
O         0.08 -1.10
C         0.18  0.38
C         0.06 -0.19
H         0.08  0.05
H         0.09  0.07
H         0.10  0.07
H         0.09  0.07
H         0.09  0.06
H         0.18  0.57
N        -0.05 -1.17
N        -0.05 -1.23
