atom Hirshfeld Bader
Li       -0.00 -1.77
Li       -0.00  0.74
Li       -0.01 -0.96
Li       -0.01  0.74
Li       -0.00 -1.67
Li       -0.01  0.74
Li       -0.01 -0.08
Li       -0.00 -1.66
Li       -0.01 -0.10
Li       -0.07 -0.17
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07 -2.04
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07 -0.20
Li       -0.05  0.75
Li       -0.06  0.76
Li       -0.05  0.75
Li       -0.06  0.76
Li       -0.06  0.07
Li       -0.05  0.75
Li       -0.06  0.75
Li       -0.06 -1.29
Li       -0.06  0.75
Li        0.03 -0.95
Li       -0.01 -0.05
Li       -0.04 -0.69
Li        0.06  0.76
Li       -0.02 -1.29
Li       -0.03  0.72
Li       -0.01  0.72
Li       -0.02 -0.21
Li       -0.01 -0.63
O         0.16 -1.29
C         0.23  0.30
C         0.11 -0.18
H         0.09  0.07
H         0.09  0.07
H         0.11  0.09
H         0.09  0.06
H         0.10  0.06
H         0.14  0.45
