atom Hirshfeld Bader
Li       -0.02  0.74
Li       -0.02 -1.03
Li       -0.02 -1.02
Li       -0.02 -0.18
Li       -0.01 -0.93
Li       -0.02  0.75
Li       -0.02 -1.01
Li       -0.01  0.75
Li       -0.01 -0.99
Li       -0.08 -0.04
Li       -0.08 -1.16
Li       -0.08  0.73
Li       -0.08 -1.28
Li       -0.08 -0.88
Li       -0.09  0.74
Li       -0.08  0.73
Li       -0.08  0.73
Li       -0.09  0.72
Li        0.01  0.78
Li       -0.04  0.76
Li       -0.03  0.75
Li       -0.03 -0.25
Li       -0.07 -0.11
Li       -0.06  0.68
Li       -0.03  0.76
Li       -0.07 -0.29
Li       -0.07  0.76
Li        0.03 -0.39
Li        0.09  0.78
Li        0.00  0.72
Li        0.11  0.84
Li        0.04  0.76
Li       -0.02 -0.45
Li        0.03  0.73
Li        0.01  0.73
Li       -0.03 -2.45
O         0.11 -1.20
C         0.20  0.34
C         0.07 -0.18
H         0.08  0.07
H         0.10  0.08
H         0.10  0.07
H         0.09  0.08
H         0.09  0.06
H         0.17  0.57
N        -0.04 -1.18
N        -0.04 -1.17
