atom Hirshfeld Bader
Li       -0.02 -1.01
Li       -0.02 -1.00
Li       -0.02  0.74
Li       -0.01 -0.12
Li       -0.02  0.75
Li       -0.02 -0.99
Li       -0.01 -0.15
Li       -0.01 -0.15
Li       -0.02 -1.03
Li       -0.08  0.72
Li       -0.08 -0.19
Li       -0.08 -0.10
Li       -0.08 -0.12
Li       -0.09  0.73
Li       -0.08 -1.29
Li       -0.08  0.73
Li       -0.09 -0.97
Li       -0.09  0.73
Li       -0.03 -0.27
Li       -0.03  0.75
Li        0.01  0.78
Li       -0.07 -0.40
Li       -0.06  0.70
Li       -0.03  0.75
Li       -0.07  0.75
Li       -0.07 -0.32
Li       -0.03  0.76
Li        0.08 -0.31
Li        0.01  0.72
Li        0.04  0.75
Li        0.04  0.76
Li       -0.01  0.70
Li        0.11  0.83
Li        0.01 -0.20
Li       -0.04 -2.29
Li        0.01  0.72
O         0.11 -1.18
C         0.20  0.33
C         0.07 -0.17
H         0.08  0.06
H         0.09  0.10
H         0.10  0.07
H         0.09  0.07
H         0.09  0.06
H         0.19  0.58
N        -0.04 -1.20
N        -0.05 -1.18
