atom Hirshfeld Bader
Li       -0.01 -0.20
Li       -0.02  0.02
Li       -0.01 -0.19
Li       -0.01  0.74
Li       -0.01 -1.69
Li       -0.01  0.74
Li       -0.01 -1.08
Li       -0.01  0.74
Li       -0.01 -1.08
Li       -0.08 -1.40
Li       -0.08  0.73
Li       -0.08  0.73
Li       -0.08 -0.87
Li       -0.08 -0.18
Li       -0.08 -0.98
Li       -0.08  0.73
Li       -0.08  0.73
Li       -0.08  0.73
Li       -0.06  0.75
Li       -0.07 -0.65
Li       -0.06  0.75
Li       -0.06  0.75
Li       -0.07  0.76
Li       -0.06  0.75
Li       -0.07  0.75
Li       -0.07  0.07
Li       -0.07  0.75
Li        0.00 -1.15
Li        0.02 -0.19
Li        0.01 -0.70
Li        0.03  0.35
Li        0.01 -1.09
Li       -0.00 -0.54
Li        0.01  0.73
Li       -0.01  0.20
Li       -0.01  0.20
O         0.08 -1.09
C         0.18  0.38
C         0.06 -0.16
H         0.08  0.05
H         0.08  0.07
H         0.09  0.07
H         0.09  0.07
H         0.09  0.05
H         0.18  0.57
N         0.16 -0.48
N         0.18 -0.21
